PROV,MUN,sg110,grossalary,occinc,frstsourcinc,yearsedu,CODIGO
21,02,14,3189.1713156,3171.63087337,,8.33333333333,2102
21,02,15,2870.25418404,2870.25418404,,6.0,2102
21,02,16,2870.25418404,2870.25418404,,6.0,2102
21,02,40,2707.60644695,2707.60644695,517.506829383,4.66666666667,2102
21,02,50,2066.58301251,1951.77284515,,3.0,2102
21,02,52,3268.90059849,3212.29280764,413.7949782,9.5,2102
21,02,55,4735.91940367,4448.89398527,,11.5,2102
21,02,60,3143.32697794,3030.03166696,236.795970184,6.0,2102
21,02,65,2367.95970184,2367.95970184,,12.5,2102
21,02,75,1722.15251043,1722.15251043,300.802638488,14.0,2102
21,02,90,1889.5840045,1889.5840045,769.572551826,4.33333333333,2102
21,03,01,1243.77681309,1234.20929914,1865.66521963,7.0,2103
21,03,05,1243.77681309,1234.20929914,1865.66521963,7.0,2103
21,03,1,2194.14986514,2047.44798462,,9.0,2103
21,03,10,3351.3634568,3299.56220271,2487.55362617,5.16666666667,2103
21,03,11,3351.3634568,3299.56220271,2487.55362617,5.16666666667,2103
21,03,12,3351.3634568,3299.56220271,2487.55362617,5.16666666667,2103
21,03,13,3351.3634568,3299.56220271,2487.55362617,5.16666666667,2103
21,03,14,3351.3634568,3299.56220271,2487.55362617,5.16666666667,2103
21,03,15,2314.14243589,2267.50080539,287.025418404,9.25,2103
21,03,16,2487.55362617,2468.41859828,,4.0,2103
21,03,17,1243.77681309,1169.62858,266.359588279,9.0,2103
21,03,18,1243.77681309,1169.62858,266.359588279,9.0,2103
21,03,20,2487.55362617,2360.78406638,,4.5,2103
21,03,24,1722.15251043,1722.15251043,,12.0,2103
21,03,25,3444.30502085,3444.30502085,,9.0,2103
21,03,28,2487.55362617,2468.41859828,,,2103
21,03,29,2178.20400856,2123.98809619,717.563546011,12.0,2103
21,03,30,2023.52919975,1951.77284515,717.563546011,12.0,2103
21,03,31,2023.52919975,1951.77284515,717.563546011,12.0,2103
21,03,32,2023.52919975,1951.77284515,717.563546011,12.0,2103
21,03,33,2023.52919975,1951.77284515,717.563546011,12.0,2103
21,03,34,2023.52919975,1951.77284515,717.563546011,12.0,2103
21,03,35,2023.52919975,1951.77284515,717.563546011,12.0,2103
21,03,36,2255.54141296,2156.27845576,717.563546011,8.25,2103
21,03,40,2388.05148112,2388.05148112,861.076255213,9.2,2103
21,03,45,3930.65364648,3421.34298738,1880.01649055,8.0,2103
21,03,50,4759.83818854,4635.46050723,,11.0,2103
21,03,52,2005.82929895,2039.08899875,1891.17859015,9.45,2103
21,03,53,2018.74544278,1951.77284515,,8.4,2103
21,03,55,2702.82268997,2690.86329754,2487.55362617,8.5,2103
21,03,60,3220.57238702,3125.04444007,1750.85505227,7.5,2103
21,03,63,3220.4251945,3065.43146856,2152.69063803,6.8,2103
21,03,64,2104.8530683,2009.17792883,,14.0,2103
21,03,65,2798.49782944,2798.49782944,1722.15251043,12.0,2103
21,03,72,2104.8530683,2009.17792883,,14.0,2103
21,03,74,5702.2383123,5897.41559682,1435.12709202,13.1333333333,2103
21,03,75,6272.46214353,5889.76158566,574.050836809,11.2,2103
21,03,80,2647.80948478,2640.63384932,932.832609814,14.5,2103
21,03,85,12916.1438282,12916.1438282,8610.76255213,,2103
21,03,86,12916.1438282,12916.1438282,8610.76255213,,2103
21,03,90,1556.08780406,1541.73653314,922.722936744,7.95,2103
21,03,91,7462.66087851,7405.25579483,746.266087851,9.0,2103
21,03,92,17221.5251043,17221.5251043,1435.12709202,13.0,2103
21,03,93,1446.28919163,1414.79612488,560.496858717,8.75,2103
21,04,01,373.133043926,370.262789742,,8.0,2104
21,04,05,373.133043926,370.262789742,,8.0,2104
21,04,1,2132.17515456,2075.72682227,796.495536072,5.0,2104
21,04,10,2798.49782944,2712.39020392,1243.77681309,5.33333333333,2104
21,04,11,2798.49782944,2712.39020392,1243.77681309,5.33333333333,2104
21,04,12,2798.49782944,2712.39020392,1243.77681309,5.33333333333,2104
21,04,13,2798.49782944,2712.39020392,1243.77681309,5.33333333333,2104
21,04,14,2798.49782944,2712.39020392,1243.77681309,5.33333333333,2104
21,04,17,5740.50836809,5740.50836809,287.025418404,16.0,2104
21,04,18,5740.50836809,5740.50836809,287.025418404,16.0,2104
21,04,45,7175.63546011,7175.63546011,,14.0,2104
21,04,52,1932.63781726,1928.81081168,287.455956532,1.5,2104
21,04,63,4353.2188458,4018.35585766,,12.0,2104
21,04,64,1865.66521963,1865.66521963,1492.5321757,10.0,2104
21,04,65,5740.50836809,5740.50836809,638.63155595,11.0,2104
21,04,72,3803.08679386,3803.08679386,1492.5321757,12.5,2104
21,04,74,7677.92994232,7677.92994232,5740.50836809,16.0,2104
21,04,80,5357.80781022,8036.71171532,,15.6666666667,2104
21,04,85,4448.89398527,4448.89398527,1195.93924335,14.0,2104
21,04,90,2057.01549856,2052.23174159,5740.50836809,6.0,2104
21,04,93,861.076255213,861.076255213,,5.0,2104
21,05,01,861.076255213,861.076255213,700.342020907,6.83333333333,2105
21,05,05,861.076255213,861.076255213,700.342020907,6.83333333333,2105
21,05,1,2200.09332077,2191.04767122,1288.74412864,6.1,2105
21,05,10,2908.52423983,2891.30271473,1760.42256621,4.66666666667,2105
21,05,11,2908.52423983,2891.30271473,1760.42256621,4.66666666667,2105
21,05,12,2908.52423983,2891.30271473,1760.42256621,4.66666666667,2105
21,05,13,2908.52423983,2891.30271473,1760.42256621,4.66666666667,2105
21,05,14,2908.52423983,2891.30271473,1760.42256621,4.66666666667,2105
21,05,15,4611.54172236,5740.50836809,,12.0,2105
21,05,16,4611.54172236,5740.50836809,,12.0,2105
21,05,17,2803.28158642,2446.8916919,517.506829383,9.33333333333,2105
21,05,18,2803.28158642,2446.8916919,517.506829383,9.33333333333,2105
21,05,19,3482.57507664,,,12.0,2105
21,05,20,3482.57507664,,,12.0,2105
21,05,21,3482.57507664,,,12.0,2105
21,05,22,3482.57507664,,,12.0,2105
21,05,23,3482.57507664,,,12.0,2105
21,05,24,3482.57507664,,,12.0,2105
21,05,25,3482.57507664,,,12.0,2105
21,05,26,3482.57507664,,,12.0,2105
21,05,27,3482.57507664,,,12.0,2105
21,05,28,3296.00855468,2870.25418404,,10.0,2105
21,05,29,3296.00855468,2870.25418404,,10.0,2105
21,05,30,3482.57507664,,,12.0,2105
21,05,31,3482.57507664,,,12.0,2105
21,05,32,3482.57507664,,,12.0,2105
21,05,33,3482.57507664,,,12.0,2105
21,05,34,3482.57507664,,,12.0,2105
21,05,35,3482.57507664,,,12.0,2105
21,05,36,3482.57507664,,,12.0,2105
21,05,37,3482.57507664,,,12.0,2105
21,05,45,2870.25418404,2870.25418404,,,2105
21,05,50,4975.10725234,4936.83719656,,10.0,2105
21,05,52,3705.81706873,3682.34476785,2214.3891436,8.28571428571,2105
21,05,53,2367.95970184,2367.95970184,1108.34865317,3.5,2105
21,05,55,435.32188458,431.973254699,344.430502085,5.66666666667,2105
21,05,60,861.076255213,861.076255213,172.215251043,8.0,2105
21,05,65,3348.62988138,3157.27960245,57.4050836809,11.5,2105
21,05,72,3444.30502085,3444.30502085,,14.0,2105
21,05,74,3019.08217877,3229.03595705,2009.17792883,14.7777777778,2105
21,05,75,3731.33043926,3731.33043926,,17.0,2105
21,05,90,2320.80552596,2283.90225787,918.117773364,7.16666666667,2105
21,05,92,11481.0167362,11481.0167362,11481.0167362,17.0,2105
21,05,93,2340.21391139,2329.49829577,853.709269474,6.8,2105
21,06,01,508.171669346,585.436178405,55.0132051942,5.5,2106
21,06,05,508.171669346,585.436178405,55.0132051942,5.5,2106
21,06,1,1639.91972805,1632.02652905,1155.27730908,3.5,2106
21,06,10,2705.21456846,2684.40522563,,9.5,2106
21,06,11,2705.21456846,2684.40522563,,9.5,2106
21,06,12,2705.21456846,2684.40522563,,9.5,2106
21,06,13,2705.21456846,2684.40522563,,9.5,2106
21,06,14,2705.21456846,2684.40522563,,9.5,2106
