HS6,1996DFLines,1996AvgRate,1996NumLines,1997DFLines,1997AvgRate,1997NumLines,1998DFLines,1998AvgRate,1998NumLines,1999DFLines,1999AvgRate,1999NumLines,2000DFLines,2000AvgRate,2000NumLines,2001DFLines,2001AvgRate,2001NumLines,2002DFLines,2002AvgRate,2002NumLines,2003DFLines,2003AvgRate,2003NumLines,2004DFLines,2004AvgRate,2004NumLines,2005DFLines,2005AvgRate,2005NumLines,2006DFLines,2006AvgRate,2006NumLines,Base,duty2007,duty2008,duty2009,duty2010,duty2011,duty2012,duty2013,duty2014,duty2015
'020733,,20.0,1.0,,20.0,1.0,,20.0,1.0,,20.0,1.0,,20.0,1.0,,20.0,1.0,,20.0,1.0,,20.0,1.0,,20.0,1.0,,20.0,1.0,,20.0,1.0,20.0,18.75,17.5,16.25,15.0,13.75,12.5,11.25,10.0,8.75
'020734,,14.0,1.0,,14.0,1.0,,14.0,1.0,,14.0,1.0,,14.0,1.0,,14.0,1.0,,14.0,1.0,,14.0,1.0,,14.0,1.0,,14.0,1.0,,14.0,1.0,14.0,12.7272727273,11.4545454545,10.1818181818,8.90909090909,7.63636363636,6.36363636364,5.09090909091,3.81818181818,2.54545454545
'020735,,20.0,1.0,,20.0,1.0,,20.0,1.0,,20.0,1.0,,20.0,1.0,,20.0,1.0,,20.0,1.0,,20.0,1.0,,20.0,1.0,,20.0,1.0,,20.0,1.0,20.0,18.1818181818,16.3636363636,14.5454545455,12.7272727273,10.9090909091,9.09090909091,7.27272727273,5.45454545455,3.63636363636
'020736,,25.0,1.0,,25.0,1.0,,25.0,1.0,,25.0,1.0,,25.0,1.0,,20.0,1.0,,20.0,1.0,,20.0,1.0,,20.0,1.0,,20.0,1.0,,20.0,1.0,20.0,18.1818181818,16.3636363636,14.5454545455,12.7272727273,10.9090909091,9.09090909091,7.27272727273,5.45454545455,3.63636363636
'020810,,20.0,1.0,,20.0,1.0,,20.0,1.0,,20.0,1.0,,20.0,1.0,,20.0,1.0,,20.0,1.0,,20.0,1.0,,20.0,1.0,,20.0,1.0,,20.0,1.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
'020820,,20.0,1.0,,20.0,1.0,,20.0,1.0,,20.0,1.0,,20.0,1.0,,20.0,1.0,,20.0,1.0,,20.0,1.0,,20.0,1.0,,20.0,1.0,,20.0,1.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
'020890,,20.0,2.0,,20.0,2.0,,20.0,2.0,,20.0,2.0,,20.0,2.0,,20.0,2.0,,20.0,2.0,,20.0,4.0,,20.0,4.0,,20.0,4.0,,20.0,4.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
'020900,,14.0,3.0,,14.0,3.0,,14.0,3.0,,14.0,3.0,,14.0,3.0,,35.0,3.0,,35.0,3.0,,35.0,3.0,,35.0,3.0,,35.0,3.0,,35.0,3.0,32.5,29.8251748252,27.1503496503,24.4755244755,21.8006993007,19.1258741259,16.451048951,13.7762237762,11.1013986014,8.42657342657
'021011,,20.0,1.0,,20.0,1.0,,20.0,1.0,,20.0,1.0,,20.0,1.0,,40.0,1.0,,40.0,1.0,,40.0,1.0,,40.0,1.0,,40.0,1.0,,40.0,1.0,40.0,36.9230769231,33.8461538462,30.7692307692,27.6923076923,24.6153846154,21.5384615385,18.4615384615,15.3846153846,12.3076923077
'021012,,20.0,1.0,,20.0,1.0,,20.0,1.0,,20.0,1.0,,20.0,1.0,,40.0,1.0,,40.0,1.0,,40.0,1.0,,40.0,1.0,,40.0,1.0,,40.0,1.0,,,,,,,,,,
'021019,,20.0,1.0,,20.0,1.0,,20.0,1.0,,20.0,1.0,,20.0,1.0,,40.0,1.0,,40.0,1.0,,40.0,1.0,,40.0,1.0,,40.0,1.0,,40.0,1.0,40.0,36.9230769231,33.8461538462,30.7692307692,27.6923076923,24.6153846154,21.5384615385,18.4615384615,15.3846153846,12.3076923077
'021020,,20.0,1.0,,20.0,1.0,,20.0,1.0,,20.0,1.0,,20.0,1.0,,40.0,1.0,,40.0,1.0,,40.0,1.0,,40.0,1.0,,40.0,1.0,,40.0,1.0,40.0,36.9230769231,33.8461538462,30.7692307692,27.6923076923,24.6153846154,21.5384615385,18.4615384615,15.3846153846,12.3076923077
'021090,,14.0,2.0,,14.0,2.0,,14.0,2.0,,14.0,2.0,,14.0,2.0,,14.0,2.0,,14.0,2.0,,17.0,4.0,,17.0,4.0,,17.0,4.0,,20.0,4.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
'030110,,20.0,1.0,,20.0,1.0,,20.0,1.0,,20.0,1.0,,20.0,1.0,,20.0,1.0,,20.0,1.0,,20.0,1.0,,20.0,1.0,,20.0,1.0,,20.0,1.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
'030191,,11.5,2.0,,11.5,2.0,,11.5,2.0,,11.5,2.0,,11.5,2.0,1.0,20.0,1.0,1.0,20.0,1.0,1.0,20.0,1.0,1.0,20.0,1.0,1.0,20.0,1.0,1.0,20.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
'030192,,11.5,2.0,,11.5,2.0,,11.5,2.0,,11.5,2.0,,11.5,2.0,1.0,20.0,1.0,1.0,20.0,1.0,1.0,20.0,1.0,1.0,20.0,1.0,1.0,20.0,1.0,1.0,20.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
'030193,,11.5,2.0,,11.5,2.0,,11.5,2.0,,11.5,2.0,,11.5,2.0,1.0,20.0,1.0,1.0,20.0,1.0,1.0,20.0,1.0,1.0,20.0,1.0,1.0,20.0,1.0,1.0,20.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
'030199,1.0,20.0,1.0,1.0,20.0,1.0,1.0,20.0,1.0,1.0,20.0,1.0,1.0,20.0,1.0,1.0,20.0,1.0,1.0,20.0,1.0,1.0,20.0,1.0,1.0,20.0,1.0,1.0,20.0,1.0,1.0,20.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
'030211,,20.0,1.0,,20.0,1.0,,20.0,1.0,,20.0,1.0,,20.0,1.0,,20.0,1.0,,20.0,1.0,,20.0,1.0,,20.0,1.0,,20.0,1.0,,20.0,1.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
'030212,,20.0,1.0,,20.0,1.0,,20.0,1.0,,20.0,1.0,,20.0,1.0,,20.0,1.0,,20.0,1.0,,20.0,1.0,,20.0,1.0,,20.0,1.0,,20.0,1.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
'030219,,20.0,1.0,,20.0,1.0,,20.0,1.0,,20.0,1.0,,20.0,1.0,,20.0,1.0,,20.0,1.0,,20.0,1.0,,20.0,1.0,,20.0,1.0,,20.0,1.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
