MUNICIPIO,ISIC,ESTWORKERS
2103,'3210,475
2103,'3410,5
2103,'3511,30
2103,'3699,30
2103,'4520,240
2103,'5010,35
2103,'5020,30
2103,'5030,40
2103,'5040,180
2103,'5050,30
2103,'5122,480
2103,'5131,135
2103,'5141,5
2103,'5150,5
2103,'5190,150
2103,'5220,30
2103,'5231,30
2103,'5233,175
2103,'5234,70
2103,'5239,5
2103,'5259,5
2103,'5520,305
2103,'6021,80
2103,'6022,30
2103,'6023,30
2103,'6210,30
2103,'6302,90
2103,'6303,330
2103,'6304,10
2103,'6309,175
2103,'6592,15
2103,'6719,5
2103,'7010,5
2103,'7020,35
2103,'7411,30
2103,'7414,30
2103,'7421,60
2103,'7430,5
2103,'7493,5
2103,'7499,10
2103,'8511,235
2103,'9111,40
2103,'9120,35
2103,'9191,175
2103,'9302,5
2104,'5110,5
2104,'5231,10
2104,'5234,5
2105,'1513,300
2105,'1554,30
2105,'2102,30
2105,'2423,30
2105,'2520,30
2105,'2811,35
2105,'3699,30
2105,'4520,5
2105,'5190,5
2105,'5231,15
2105,'8511,5
2106,'5040,30
2107,'1711,30
2107,'2101,75
2107,'2413,350
2107,'2899,300
2107,'3210,300
2107,'5141,5
2107,'5149,5
2107,'5231,5
2107,'5234,35
2107,'5239,5
2107,'6021,30
2107,'6023,30
2201,'0112,5
2201,'1541,70
2201,'1554,60
2201,'2221,10
2201,'4520,5
2201,'5030,60
2201,'5050,5
2201,'5110,5
2201,'5122,35
2201,'5139,35
2201,'5141,30
2201,'5190,165
2201,'5211,60
2201,'5220,30
2201,'5231,55
2201,'5232,5
2201,'5233,20
2201,'5234,30
2201,'5510,10
2201,'6420,105
2201,'6519,30
2201,'6592,60
2201,'7020,5
2201,'7411,5
2201,'7421,5
2201,'8021,30
2201,'8090,5
2201,'8511,110
2203,'5231,5
2204,'5231,5
2205,'5050,5
2205,'5231,15
2205,'6420,30
2205,'8511,5
2301,'0111,35
2301,'0113,35
2301,'0140,5
2301,'1511,30
2301,'1513,30
2301,'1541,70
2301,'1542,175
2301,'1543,30
2301,'1551,105
2301,'1554,145
2301,'1600,180
2301,'1711,610
2301,'1712,175
2301,'1723,810
2301,'1810,2290
2301,'1911,30
2301,'1920,175
2301,'2010,30
2301,'2022,5
2301,'2102,30
2301,'2109,75
2301,'2211,30
2301,'2221,5
2301,'2320,30
2301,'2423,30
2301,'2520,425
2301,'2710,40
2301,'2811,5
2301,'2812,30
2301,'2892,5
2301,'2893,30
2301,'2899,70
2301,'3190,40
2301,'3210,300
2301,'3311,30
2301,'3691,825
2301,'3699,30
2301,'3720,75
2301,'4010,5
2301,'4510,75
2301,'4520,250
2301,'4530,5
2301,'5010,85
2301,'5020,20
2301,'5030,60
2301,'5040,5
2301,'5050,65
2301,'5121,5
2301,'5122,60
2301,'5131,10
2301,'5139,105
2301,'5143,35
2301,'5150,35
2301,'5190,395
2301,'5211,5
2301,'5219,330
2301,'5220,5
2301,'5231,180
2301,'5232,50
2301,'5233,25
2301,'5234,170
2301,'5239,95
2301,'5259,35
2301,'5260,35
2301,'5510,470
2301,'5520,115
2301,'6021,125
