PROVINCE,MUNICIPIO,ISIC,SIZE,EMPRESAS,MUNICINUM,PROVNUM
1,101,'6303,100-249,2,298,298
1,101,'6303,250-,3,248,248
1,101,'6303,50-99,1,484,484
1,101,'6304,1-9,153,8021,8021
1,101,'6304,10-49,45,3121,3121
1,101,'6304,100-249,5,298,298
1,101,'6304,250-,2,248,248
1,101,'6304,50-99,9,484,484
1,101,'6309,1-9,60,8021,8021
1,101,'6309,10-49,16,3121,3121
1,101,'6309,100-249,2,298,298
1,101,'6309,50-99,2,484,484
1,101,'6412,1-9,13,8021,8021
1,101,'6412,10-49,11,3121,3121
1,101,'6412,100-249,4,298,298
1,101,'6412,50-99,3,484,484
1,101,'6420,1-9,178,8021,8021
1,101,'6420,10-49,68,3121,3121
1,101,'6420,100-249,13,298,298
1,101,'6420,250-,10,248,248
1,101,'6420,50-99,14,484,484
1,101,'6519,1-9,16,8021,8021
1,101,'6519,10-49,8,3121,3121
1,101,'6519,100-249,7,298,298
1,101,'6519,250-,13,248,248
1,101,'6519,50-99,4,484,484
1,101,'6592,1-9,449,8021,8021
1,101,'6592,10-49,114,3121,3121
1,101,'6592,100-249,7,298,298
1,101,'6592,250-,3,248,248
1,101,'6592,50-99,12,484,484
1,101,'6599,1-9,46,8021,8021
1,101,'6599,10-49,16,3121,3121
1,101,'6599,100-249,3,298,298
1,101,'6599,50-99,2,484,484
1,101,'6602,1-9,3,8021,8021
1,101,'6602,10-49,5,3121,3121
1,101,'6602,100-249,5,298,298
1,101,'6602,250-,1,248,248
1,101,'6602,50-99,3,484,484
1,101,'6603,1-9,19,8021,8021
1,101,'6603,10-49,3,3121,3121
1,101,'6603,250-,5,248,248
1,101,'6603,50-99,8,484,484
1,101,'6711,1-9,1,8021,8021
1,101,'6711,10-49,3,3121,3121
1,101,'6711,50-99,1,484,484
1,101,'6719,1-9,54,8021,8021
1,101,'6719,10-49,17,3121,3121
1,101,'6719,50-99,1,484,484
1,101,'6720,1-9,88,8021,8021
1,101,'6720,10-49,25,3121,3121
1,101,'6720,100-249,4,298,298
1,101,'6720,250-,1,248,248
1,101,'6720,50-99,5,484,484
1,101,'7010,1-9,181,8021,8021
1,101,'7010,10-49,41,3121,3121
1,101,'7010,100-249,5,298,298
1,101,'7010,250-,2,248,248
1,101,'7010,50-99,7,484,484
1,101,'7020,1-9,540,8021,8021
1,101,'7020,10-49,112,3121,3121
1,101,'7020,100-249,2,298,298
1,101,'7020,250-,2,248,248
1,101,'7020,50-99,15,484,484
1,101,'7111,1-9,6,8021,8021
1,101,'7111,10-49,6,3121,3121
1,101,'7111,100-249,1,298,298
1,101,'7111,50-99,5,484,484
1,101,'7122,1-9,1,8021,8021
1,101,'7122,10-49,2,3121,3121
1,101,'7123,1-9,3,8021,8021
1,101,'7123,10-49,1,3121,3121
1,101,'7129,1-9,7,8021,8021
1,101,'7129,10-49,1,3121,3121
1,101,'7130,1-9,9,8021,8021
1,101,'7130,10-49,4,3121,3121
1,101,'7130,50-99,1,484,484
1,101,'7210,1-9,12,8021,8021
1,101,'7210,10-49,5,3121,3121
1,101,'7220,1-9,57,8021,8021
1,101,'7220,10-49,24,3121,3121
1,101,'7220,100-249,2,298,298
1,101,'7230,1-9,6,8021,8021
